time, Quad.Est.E.Pos, Quad.Est.S.Z
4.529854,nan,0.300000
4.534854,nan,0.300000
4.539854,nan,0.300000
4.544853,nan,0.300000
4.549853,nan,0.300000
4.554852,nan,0.300000
4.559852,nan,0.300000
4.564852,nan,0.300000
4.569851,nan,0.300000
4.574851,nan,0.300000
4.579851,nan,0.300000
4.584850,nan,0.300000
4.589850,nan,0.300000
4.594850,nan,0.300000
4.599849,nan,0.300000
4.604849,nan,0.300000
4.609848,nan,0.300000
4.614848,nan,0.300000
4.619848,nan,0.300000
4.624847,nan,0.300000
4.629847,nan,0.300000
4.634847,nan,0.300000
4.639846,nan,0.300000
4.644846,nan,0.300000
4.649846,nan,0.300000
